Kim dla św. Benedykta była św. Scholastyka?,Była jego siostrą bliźniaczką i założycielką żeńskiej gałęzi zakonu benedyktynów.
Kto był najmłodszym kawalerem Krzyża Wiktorii za walki na Linii Gustawa?,Szer. Kamal Ram z 8 Pułku Pendżabskiego.
Kto pełnił funkcję niemieckiego głównodowodzącego w śródziemnomorskim teatrze wojennym?,Feldmarsz. Albert Kesselring.
Co upamiętnia pomnik 4 Pułku Pancernego w postaci czołgu ppor. L. Białeckiego?,Śmierć całej załogi w eksplozji miny 12 maja 1944 r.
Jak nazywał się podstawowy karabin wojsk sprzymierzonych produkowany masowo od 1917 r.?,Lee-Enfield No. 4 Mk I.
Czym była 2 Grupa Artylerii w strukturze 2 Korpusu Polskiego?,Była to artyleria pozadywizyjna.
Który niemiecki oficer uratował dzieła sztuki z klasztoru Monte Cassino przed zniszczeniem?,Ppłk Julius Schlegel.
Kto dowodził niemieckim XIV Korpusem Pancernym Wehrmachtu?,Gen. Fridolin von Senger und Etterlin.
Która elitarna niemiecka jednostka spadochronowa broniła Monte Cassino?,1 Dywizja Strzelców Spadochronowych.
Kto stał na czele nowozelandzkiego II Korpusu?,Gen. por. Bernard Freyberg.
Jak nazywała się oficjalna gazeta 2 Korpusu Polskiego?,„Orzeł Biały”.
Do jakiego kraju należy wysokie odznaczenie wojskowe o nazwie Legia Zasługi?,Do Stanów Zjednoczonych.
Jaką nazwę nosiła amerykańska 36 Dywizja Piechoty dowodzona przez gen. mjr. Freda Walkera?,„Grot”.
Która hinduska formacja piechoty w składzie 4 Dywizji pochodziła z Nepalu?,1 batalion 9 Pułku Gurkhów.
Czym była niemiecka broń o nazwie Nebelwerfer?,Wielolufową wyrzutnią rakietową.
Kim był kpt. Jerzy Kluger w kontekście 2 Korpusu Polskiego?,Był jednym z tysiąca polskich Żydów w Korpusie i szkolnym kolegą Karola Wojtyły.
Jaki amerykański samochód terenowy był powszechnie używany przez wojska sprzymierzone?,Jeep Willys.
Od którego roku produkowany był niemiecki pistolet maszynowy MP-40?,Od 1940 roku.
Która broń była podstawowym karabinem maszynowym Wehrmachtu od 1942 r.?,MG-42 (uniwersalny karabin maszynowy).
Termin: Staghound,Amerykański samochód pancerny T17 używany przez alianckie jednostki rozpoznawcze.
Jaką rolę pełnił M3A3 Stuart w wojskach pancernych sprzymierzonych?,Był to lekki czołg rozpoznawczy.
Czym charakteryzował się brytyjski średni czołg M4A2 Sherman?,Zapewniał wsparcie pancerne jednostkom alianckim.
W jakim celu stosowano medalion znany jako Krzyż św. Benedykta?,Jako ważny sakramentalium katolickie (znany od XI w.).
Który batalion piechoty wchodził w skład 3 Dywizji Strzelców Karpackich?,2 Batalion Strzelców Karpackich.
Która brytyjska dywizja piechoty wchodziła w skład nowozelandzkiego II Korpusu?,78 Dywizja Piechoty.
Pod czyim dowództwem znajdowała się Hinduska 4 Dywizja Piechoty?,Gen. mjr. Francisa Tukera.
Jaką nazwę nosił brytyjski batalion piechoty przydzielony do hinduskiej 4 Dywizji?,5 Batalion Królewskiego Pułku Sussex.
Czym była formacja Luftwafe w strukturze III Rzeszy?,"Były to siły powietrzne, w skład których wchodziły m.in. wojska spadochronowe."
Która flaga Indii była używana na arenie międzynarodowej w latach 1880–1947?,Flaga Indii Brytyjskich.
Przez kogo była używana flaga USA z 48 gwiazdkami (w latach 1912–1959)?,Przez Stany Zjednoczone podczas II wojny światowej.
Jaki typ umundurowania nosił typowy żołnierz Wehrmachtu?,Standardowe umundurowanie polowe piechoty niemieckiej.
W jakie mundury byli wyposażeni żołnierze 2 Korpusu Polskiego?,W typowe brytyjskie umundurowanie polowe.
Kto dowodził brytyjską 4 Dywizją Piechoty w składzie 8 Armii?,Gen. mjr. Alfred Ward.
Jak nazywało się pamiątkowe odznaczenie wielkiej jednostki 2 Korpusu Polskiego?,Odznaka 2 Brygady Pancernej.
Jaką broń maszynową nazywano „postrachem alianckich oddziałów”?,Wielolufowe wyrzutnie rakietowe Nebelwerfer.
Czym wyróżniały się hełmy niemieckich spadochroniarzy (wz. 38)?,"Miały nietypowy, mniejszy kształt w porównaniu do standardowych hełmów piechoty."
"Jaki stopień oficerski w Wojsku Polskim jest wyższy od kapitana, a niższy od podpułkownika?",Major.
Który stopień podoficerski w Wojsku Polskim określany jest jako wyższy?,Sierżant.
