Kiedy ruszyło pierwsze bezpośrednie natarcie aliantów na linię Gustawa?,17 stycznia 1944 r.
Kto dowodził Francuskim Korpusem Ekspedycyjnym podczas walk we Włoszech?,Gen. Alphonse Juin.
"Jak nazywano 34 Dywizję Piechoty USA, która uderzyła na miasto Cassino od północy?",„Red Bulls”.
Kto kategorycznie zażądał zbombardowania klasztoru na Monte Cassino?,Gen. Bernard Freyberg.
W jakim dniu samoloty amerykańskie zrzuciły 576 ton bomb na klasztor Monte Cassino?,15 lutego 1944 r.
Pod jakim numerem znane było strategiczne wzgórze Monte Calvario?,Wzgórze 593.
Który polski żołnierz odegrał hejnał mariacki na ruinach klasztoru po jego zdobyciu?,Plutonowy (lub kplut.) Emil Czech.
Jaki kwiat stał się symbolem przelanej krwi żołnierzy polskich pod Monte Cassino?,Czerwony mak.
Jak nazywał się lekki czołg rozpoznawczy używany przez polskie oddziały we Włoszech?,M3A3 Stuart.
Który polski pułk ułanów jako pierwszy wkroczył do ruin klasztoru?,12 Pułk Ułanów Podolskich.
Jak nazywała się brytyjska armia wchodząca w skład 15 Grupy Armii?,8 Armia.
Ile kart do gry zawiera zestaw edukacyjny „ZnajZnak – Monte Cassino”?,132 karty.
Na ile zestawów (oznaczonych literami od A do N) podzielone są karty w grze?,Na 13 zestawów.
"Kto jest głównym projektantem gry „ZnajZnak”, na której oparto wersję o Monte Cassino?",Karol Madaj.
"Co należy zrobić w wariancie gry „Rozgrzewka”, gdy znajdzie się wspólny symbol?",Pierwszy wypowiedzieć na głos jego nazwę i przełożyć swoją kartę na środek.
Gdzie w grze „ZnajZnak” można sprawdzić poprawną nazwę symbolu?,Na rewersie karty.
Kto ma pierwszeństwo w grze w przypadku jednoczesnego podania nazwy symbolu?,Najmłodszy z graczy.
Jak nazywa się formacja włoska walcząca po stronie aliantów od 1943 roku?,Korpus Wyzwolenia Włoch.
Kto dowodził Korpusem Wyzwolenia Włoch?,Gen. Umberto Utili.
W jakim mieście we wrześniu 1943 r. alianci zajęli najważniejszy punkt południowych Włoch?,W Neapolu.
Który oddział rozpoznawczy kontynuował tradycje kawaleryjskie pod dowództwem gen. Andersa?,15 Pułk Ułanów Poznańskich.
Jak nazywała się jednostka artylerii polskiej tworzona przez sześć pułków?,2 Grupa Artylerii.
"Podaj nazwę pułku pancernego 2 Korpusu, który nosił nazwę „Dzieci Lwowskich”.",Pułk 6 Pancerny.
Która rzeka stanowiła naturalną barierę dla amerykańskiej 36 Teksańskiej Dywizji Piechoty?,Rzeka Rapido.
Kto sprawował funkcję redaktora opracowania historycznego broszury?,Prof. dr hab. Michał Polak.
Jaki amerykański order wojskowy widnieje wśród symboli na kartach gry?,Legia Zasługi (Legion of Merit).
Jaką nazwę nosił pułk ułanów wchodzący w skład 3 DSK?,Pułk Ułanów Karpackich.
